CLASS,Level,SKILL_NAME,"Silver Oaks High School, Visakhapatnam",National Average
6,Core Skill,Knows punctuation and sentence formation,43.5185135417,43.98392245911137
7,Analytical Skill,Analyses characters and situations,38.4732541985,48.49249184907589
7,Analytical Skill,Infers using contextual clues and prior knowledge,48.8549633588,47.194224916440085
7,Analytical Skill,"Registers moods, tones and emotions",52.6717572519,47.75391217598829
7,Analytical Skill,"Understands idioms, proverbs and figures of speech",43.0025305344,44.20792998757246
7,Analytical Skill,Understands organisation and context of the passage,50.5343587786,45.933376348338115
7,Analytical Skill,Understands the usage of grammar concepts,48.9397656489,47.541660998952054
7,Core Skill,Deduces word meanings from contextual clues,51.4722045802,46.314596394767776
7,Core Skill,Identifies and recalls direct facts in the passage,47.9825755725,49.134315620528135
7,Core Skill,"Identifies synonyms, antonyms and other words",45.8015244275,45.571440442235726
7,Core Skill,Identifies the main idea and purpose of the passage,51.9083946565,47.58283152158508
7,Core Skill,Knows punctuation and sentence formation,36.3549526718,44.71726830526468
8,Analytical Skill,Analyses characters and situations,67.0706868687,47.60370053343227
8,Analytical Skill,Infers using contextual clues and prior knowledge,70.7070505051,47.16368182337015
8,Analytical Skill,"Registers moods, tones and emotions",71.7171656566,45.02952183311057
8,Analytical Skill,"Understands idioms, proverbs and figures of speech",54.2087424242,45.15565929408451
8,Analytical Skill,Understands organisation and context of the passage,56.5656474747,44.91790127094211
8,Analytical Skill,Understands the usage of grammar concepts,64.4219909091,48.1581688969184
8,Core Skill,Deduces word meanings from contextual clues,61.2794616162,47.504000150963385
8,Core Skill,Identifies and recalls direct facts in the passage,61.1832919192,52.30588240813198
8,Core Skill,"Identifies synonyms, antonyms and other words",65.9451434343,44.919302428145116
8,Core Skill,Identifies the main idea and purpose of the passage,74.410769697,46.28936205091433
8,Core Skill,Knows punctuation and sentence formation,47.4747656566,45.49274779472903
9,,"Knows punctuation, sentence structure/transformation",52.0795810127,44.78177073584854
9,Analytical Skill,Analyses characters and situations,62.9294683544,48.002956505003134
9,Analytical Skill,Infers using contextual clues and prior knowledge,64.5569443038,48.992632020242475
9,Analytical Skill,"Registers moods, tones and emotions",43.0379696203,45.244218402257
9,Analytical Skill,"Understands idioms, proverbs and figures of speech",61.2657987342,45.896030011182944
9,Analytical Skill,Understands organisation and context of the passage,47.1971075949,45.65573126627524
9,Analytical Skill,Understands the usage of grammar concepts,67.2037050633,48.60212527982812
9,Core Skill,Deduces word meanings from contextual clues,66.3291278481,44.21436519276073
9,Core Skill,Identifies and recalls direct facts in the passage,60.6012746835,48.80972725105231
9,Core Skill,"Identifies synonyms, antonyms and other words",51.1754177215,43.09772204844597
9,Core Skill,Identifies the main idea and purpose of the passage,64.3038101266,49.61253759453809
10,,"Knows punctuation, sentence structure/transformation",32.1548545455,46.67393669144038
10,Analytical Skill,Analyses characters and situations,60.6060727273,48.99380925848409
10,Analytical Skill,Infers using contextual clues and prior knowledge,68.6147075758,50.40407559197648
10,Analytical Skill,"Registers moods, tones and emotions",62.1212121212,45.86938418413268
10,Analytical Skill,"Understands idioms, proverbs and figures of speech",55.4545318182,48.620477232759626
10,Analytical Skill,Understands organisation and context of the passage,38.8888681818,50.40838005800241
10,Analytical Skill,Understands the usage of grammar concepts,63.1313515152,50.132579322280925
10,Core Skill,Deduces word meanings from contextual clues,61.8181681818,48.57151615045607
10,Core Skill,Identifies and recalls direct facts in the passage,67.8029909091,52.40123663954168
10,Core Skill,"Identifies synonyms, antonyms and other words",64.5833424242,45.70962389722189
10,Core Skill,Identifies the main idea and purpose of the passage,53.9394348485,51.355124050305164
