CLASS,Level,SKILL_NAME,"Silver Oaks High School, Visakhapatnam",National Average
7,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",55.7251992366,44.94664559700625
7,Core Skill,Classification/comparison of organisms/processes; giving examples,24.6819320611,45.5011453420711
7,Core Skill,"Definition or description of scientific terms, organisms or materials",33.8422419847,43.360162887677426
7,Core Skill,"Extraction, translation and application of knowledge or information",32.2137381679,40.98473917919503
7,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",48.3460541985,45.7484300618636
7,Core Skill,Recollection or recognition of science facts and concepts,25.4961709924,43.88000588672366
8,Analytical Skill,Advanced or complex data representation or interpretation,23.999996,41.44566914027393
8,Analytical Skill,Analysis of information to identify trends or properties,42,41.260296950803564
8,Analytical Skill,Hypothesis formulation; design of apparatus or experiment,40.000004,40.531267471571375
8,Analytical Skill,Integrating different concepts or information for decision making,26.000012,38.775740265672745
8,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",40.799974,44.9821509291927
8,Core Skill,Classification/comparison of organisms/processes; giving examples,37,43.36607882929972
8,Core Skill,"Definition or description of scientific terms, organisms or materials",54.333308,42.895205061743404
8,Core Skill,"Extraction, translation and application of knowledge or information",32.333308,40.17980490806282
8,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",46.249982,43.74096626901797
8,Core Skill,Recollection or recognition of science facts and concepts,26.399998,40.01379295723117
9,,"Design of appropriate apparatus, experiment or activity for scientific investigation",43.0379455696,42.45796049283604
9,Analytical Skill,Advanced or complex data representation or interpretation,19.6202392405,40.39419118176995
9,Analytical Skill,Analysis of information to identify trends or properties,41.4556962025,41.26259362501499
9,Analytical Skill,Hypothesis formulation or prediction of outcome,64.8734303797,42.57903806011433
9,Analytical Skill,Integrating different concepts or information for decision making,32.7004088608,39.66111492218688
9,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",27.8481101266,45.054333344748116
9,Core Skill,Classification/comparison of organisms/processes; giving examples,35.1265708861,42.409444606066685
9,Core Skill,"Extraction, translation and application of knowledge or information",53.4810189873,41.30388032147392
9,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",48.8607658228,42.38979629733265
9,Core Skill,Recollection or recognition of science facts and concepts,37.215156962,44.71416779734566
10,,"Design of appropriate apparatus, experiment or activity for scientific investigation",49.7512104478,45.87029064378642
10,Analytical Skill,Advanced or complex data representation or interpretation,44.7760835821,42.88438431621267
10,Analytical Skill,Analysis of information to identify trends or properties,49.7512507463,42.4167372598034
10,Analytical Skill,Hypothesis formulation or prediction of outcome,60.2984985075,41.76800258271461
10,Analytical Skill,Integrating different concepts or information for decision making,35.5223835821,43.41885820963453
10,Analytical Skill,"Representing, relating or explaining scientific processes or observed phenomena",34.6268567164,46.027349654472665
10,Core Skill,Classification/comparison of organisms/processes; giving examples,30.223880597,47.538811329672434
10,Core Skill,"Extraction, translation and application of knowledge or information",39.8009940299,41.741016145972424
10,Core Skill,"Knowledge of use of scientific instruments, tools and procedures",29.4776268657,46.86529979888922
10,Core Skill,Recollection or recognition of science facts and concepts,22.3880597015,44.87766309113007
